Answer Export,,,,,,,
Answer ID,Date Updated,Category,Product,Question,Keywords,Summary,Answer
117,03/22/2012 01:21 PM,Using Your Account,Home Furnishings / Accessories,How Do I Login and Out of My Account?,No Value,How Do I Login and Out of My Account?,"<b>Login:</b> Click the&#160;Login link located at the top right hand corner of the page
<p>If you are a returning customer, enter your email address and password under the heading ""Returning Customer?"".</p>
<p>Click <span style=""FONT-WEIGHT: bold"">Login</span> to log into your account.</p>
<p>If you are a new customer, provide your email address in the email field and select ""Create my Account"".</p>
<p>Click <span style=""FONT-WEIGHT: bold"">Login</span> to log into your account after the account is created.</p>
<p><b>Logout:</b> There are two ways to log out of your account.</p>
<p>If you are logged in as a returning customer, click on the Not You? link or on the Logout link located in the top right corner of our homepage to go back to the login page..</p>
<p>Close your web browser window that is displaying the ATG Store webpage to automatically log out.</p>
<p>If you have lost your password, select the ""forgot your password""&#160;link to retrieve your password.</p>

"
117,03/22/2012 01:21 PM,Using Your Account,Clothes,How Do I Login and Out of My Account?,No Value,How Do I Login and Out of My Account?,"<b>Login:</b> Click the&#160;Login link located at the top right hand corner of the page
<p>If you are a returning customer, enter your email address and password under the heading ""Returning Customer?"".</p>
<p>Click <span style=""FONT-WEIGHT: bold"">Login</span> to log into your account.</p>
<p>If you are a new customer, provide your email address in the email field and select ""Create my Account"".</p>
<p>Click <span style=""FONT-WEIGHT: bold"">Login</span> to log into your account after the account is created.</p>
<p><b>Logout:</b> There are two ways to log out of your account.</p>
<p>If you are logged in as a returning customer, click on the Not You? link or on the Logout link located in the top right corner of our homepage to go back to the login page..</p>
<p>Close your web browser window that is displaying the ATG Store webpage to automatically log out.</p>
<p>If you have lost your password, select the ""forgot your password""&#160;link to retrieve your password.</p>

"
117,03/22/2012 01:21 PM,Using Your Account,Shoes,How Do I Login and Out of My Account?,No Value,How Do I Login and Out of My Account?,"<b>Login:</b> Click the&#160;Login link located at the top right hand corner of the page
<p>If you are a returning customer, enter your email address and password under the heading ""Returning Customer?"".</p>
<p>Click <span style=""FONT-WEIGHT: bold"">Login</span> to log into your account.</p>
<p>If you are a new customer, provide your email address in the email field and select ""Create my Account"".</p>
<p>Click <span style=""FONT-WEIGHT: bold"">Login</span> to log into your account after the account is created.</p>
<p><b>Logout:</b> There are two ways to log out of your account.</p>
<p>If you are logged in as a returning customer, click on the Not You? link or on the Logout link located in the top right corner of our homepage to go back to the login page..</p>
<p>Close your web browser window that is displaying the ATG Store webpage to automatically log out.</p>
<p>If you have lost your password, select the ""forgot your password""&#160;link to retrieve your password.</p>

"
117,03/22/2012 01:21 PM,Using Your Account,Furniture,How Do I Login and Out of My Account?,No Value,How Do I Login and Out of My Account?,"<b>Login:</b> Click the&#160;Login link located at the top right hand corner of the page
<p>If you are a returning customer, enter your email address and password under the heading ""Returning Customer?"".</p>
<p>Click <span style=""FONT-WEIGHT: bold"">Login</span> to log into your account.</p>
<p>If you are a new customer, provide your email address in the email field and select ""Create my Account"".</p>
<p>Click <span style=""FONT-WEIGHT: bold"">Login</span> to log into your account after the account is created.</p>
<p><b>Logout:</b> There are two ways to log out of your account.</p>
<p>If you are logged in as a returning customer, click on the Not You? link or on the Logout link located in the top right corner of our homepage to go back to the login page..</p>
<p>Close your web browser window that is displaying the ATG Store webpage to automatically log out.</p>
<p>If you have lost your password, select the ""forgot your password""&#160;link to retrieve your password.</p>

"
123,03/22/2012 01:34 PM,Company Information,Home Furnishings / Accessories,About ATG Store,No Value,About ATG Store,"<p>ATG Store, and its affiliated Home store is an online retailer offering a wide variety of high-quality, brand-name merchandise at discount prices, including furniture, home decor, watches, jewelry, clothing, shoes, and accessories. We give customers an opportunity to shop for bargains conveniently, while offering manufacturers, distributors and other retailers an alternative sales channel.</p>

"
123,03/22/2012 01:34 PM,Company Information,Clothes,About ATG Store,No Value,About ATG Store,"<p>ATG Store, and its affiliated Home store is an online retailer offering a wide variety of high-quality, brand-name merchandise at discount prices, including furniture, home decor, watches, jewelry, clothing, shoes, and accessories. We give customers an opportunity to shop for bargains conveniently, while offering manufacturers, distributors and other retailers an alternative sales channel.</p>

"
123,03/22/2012 01:34 PM,Company Information,Shoes,About ATG Store,No Value,About ATG Store,"<p>ATG Store, and its affiliated Home store is an online retailer offering a wide variety of high-quality, brand-name merchandise at discount prices, including furniture, home decor, watches, jewelry, clothing, shoes, and accessories. We give customers an opportunity to shop for bargains conveniently, while offering manufacturers, distributors and other retailers an alternative sales channel.</p>

"
123,03/22/2012 01:34 PM,Company Information,Furniture,About ATG Store,No Value,About ATG Store,"<p>ATG Store, and its affiliated Home store is an online retailer offering a wide variety of high-quality, brand-name merchandise at discount prices, including furniture, home decor, watches, jewelry, clothing, shoes, and accessories. We give customers an opportunity to shop for bargains conveniently, while offering manufacturers, distributors and other retailers an alternative sales channel.</p>

"
124,03/22/2012 01:37 PM,Company Information,Furniture,Privacy and Security,No Value,Privacy and Security,"<p>ATG Store, Inc. (""ATG Store,"" ""atg,"", ""Oracle"",&#160;""ATG Home,"" ""we,"" ""us,"" or ""our"" as appropriate) has created the following Privacy and Security Policy to let you know what information we collect, why we collect it and to whom it may be disclosed.</p>
<p>This Privacy and Security Policy applies to&#160;the Commerce Reference Stores&#160;(the ""Sites""). This Privacy and Security Policy also addresses our data security practices and the options you have to access and control personally identifiable and non-personally identifiable information.</p>
<p>Our Terms and Conditions govern this Privacy and Security Policy. To the extent there is a conflict between the terms of this Privacy and Security Policy and the Terms and Conditions, the Terms and Conditions shall govern.</p>
<p>We may periodically make changes to this Privacy and Security Policy. It is your responsibility to review this Privacy and Security Policy frequently and remain informed about any changes to it, so we encourage you to visit this page often.</p>
<p>&#160;This Privacy and Security Policy supersedes any and all previous versions. Entering the Sites constitutes your acceptance and agreement to all terms contained in this Privacy and Security Policy. If you do not agree with the terms set forth in this Privacy and Security Policy, please do not enter the Sites.</p>

"
124,03/22/2012 01:37 PM,Company Information,Home Furnishings / Accessories,Privacy and Security,No Value,Privacy and Security,"<p>ATG Store, Inc. (""ATG Store,"" ""atg,"", ""Oracle"",&#160;""ATG Home,"" ""we,"" ""us,"" or ""our"" as appropriate) has created the following Privacy and Security Policy to let you know what information we collect, why we collect it and to whom it may be disclosed.</p>
<p>This Privacy and Security Policy applies to&#160;the Commerce Reference Stores&#160;(the ""Sites""). This Privacy and Security Policy also addresses our data security practices and the options you have to access and control personally identifiable and non-personally identifiable information.</p>
<p>Our Terms and Conditions govern this Privacy and Security Policy. To the extent there is a conflict between the terms of this Privacy and Security Policy and the Terms and Conditions, the Terms and Conditions shall govern.</p>
<p>We may periodically make changes to this Privacy and Security Policy. It is your responsibility to review this Privacy and Security Policy frequently and remain informed about any changes to it, so we encourage you to visit this page often.</p>
<p>&#160;This Privacy and Security Policy supersedes any and all previous versions. Entering the Sites constitutes your acceptance and agreement to all terms contained in this Privacy and Security Policy. If you do not agree with the terms set forth in this Privacy and Security Policy, please do not enter the Sites.</p>

"
