"Answer ID","Date Updated","Category","Product","Question","Keywords","Summary","Answer"
"111","03/28/2012 09:47 AM","Devoluciones","Zapatos","Cómo devolver un artículo","Mobiliario","Cómo devolver un artículo","<p>Siga los pasos que se indican a continuación para devolver un artículo.</p>
<ol>
<li>Busque la orden que contiene el artículo que desea devolver.</li>
<li>Seleccione el artículo que desea devolver.</li>
<li>Seleccione la cantidad que desea devolver.</li>
<li>Haga clic en ""Continuar"".</li>
<li>Siga las instrucciones en línea.</li>
</ol>
<p>Cuando haya realizado los pasos anteriores, le enviaremos por correo electrónico una etiqueta para envío de devoluciones con las instrucciones y ubicaciones de entrega. Imprima la etiqueta y adhiérala al paquete.</p>

"
"154","03/28/2012 09:50 AM","Información de producto","Zapatos","Guía de tallas de zapatos","Zapatos","Guía de tallas de zapatos","<p style=""FONT-WEIGHT: bold"">¿Cómo puedo saber la talla de zapato que utilizo?</p>
<p>Si no está seguro de su talla, utilice una regla para obtener una medida aproximada. Sin embargo, como el pie tiene tres dimensiones, puede que esta no sea una medida completamente exacta. Tenga presente que los fabricantes utilizan distintas medidas para fabricar los zapatos y las tallas pueden variar en consecuencia. Le recomendamos que se pruebe algunos zapatos en una zapatería para hacerse una idea de la talla que utiliza.</p>

"
"111","03/28/2012 09:47 AM","Devoluciones","Mobiliario y accesorios para el hogar","Cómo devolver un artículo","Mobiliario","Cómo devolver un artículo","<p>Siga los pasos que se indican a continuación para devolver un artículo.</p>
<ol>
<li>Busque la orden que contiene el artículo que desea devolver.</li>
<li>Seleccione el artículo que desea devolver.</li>
<li>Seleccione la cantidad que desea devolver.</li>
<li>Haga clic en ""Continuar"".</li>
<li>Siga las instrucciones en línea.</li>
</ol>
<p>Cuando haya realizado los pasos anteriores, le enviaremos por correo electrónico una etiqueta para envío de devoluciones con las instrucciones y ubicaciones de entrega. Imprima la etiqueta y adhiérala al paquete.</p>

"
"111","03/28/2012 09:47 AM","Devoluciones","Mobiliario","Cómo devolver un artículo","Mobiliario","Cómo devolver un artículo","<p>Siga los pasos que se indican a continuación para devolver un artículo.</p>
<ol>
<li>Busque la orden que contiene el artículo que desea devolver.</li>
<li>Seleccione el artículo que desea devolver.</li>
<li>Seleccione la cantidad que desea devolver.</li>
<li>Haga clic en ""Continuar"".</li>
<li>Siga las instrucciones en línea.</li>
</ol>
<p>Cuando haya realizado los pasos anteriores, le enviaremos por correo electrónico una etiqueta para envío de devoluciones con las instrucciones y ubicaciones de entrega. Imprima la etiqueta y adhiérala al paquete.</p>

"
"119","03/28/2012 09:51 AM","Uso de la cuenta","Ropa","Cómo ver el historial de órdenes","Zapatos","Consulta del historial de órdenes","<p>Solo podrá consultar el historial de la cuenta si se ha registrado en nuestro sitio. Los usuarios registrados pueden ver y gestionar la información de la cuenta y de las órdenes. Conéctese a ""Cuenta"" (en la esquina superior derecha de la página inicial). Desde la página de gestión de la cuenta, puede gestionar su perfil, la información de pago, la libreta de direcciones, las órdenes, la lista de deseos y la lista de regalos.</p>
<p><span style=""FONT-WEIGHT: bold"">Nota:</span> las órdenes internacionales pueden tardar en aparecer en el historial de órdenes hasta cinco días. La información de seguimiento de los artículos de órdenes de envíos internacionales no se muestra hasta que los artículos abandonan el centro de distribución de Estados Unidos. Los artículos pueden tardar hasta 10 días laborables en llegar a dicho centro de distribución.</p>

"
"134","03/28/2012 09:51 AM","Información de producto","Zapatos","Embalaje de zapatos
","Zapatos","Embalaje de zapatos","Debido a los cambios en el embalaje por parte del fabricante, es posible que observe alguna diferencia en el embalaje del producto con respecto a la imagen mostrada para el estilo de zapato que ha elegido.
"
"119","03/28/2012 09:51 AM","Uso de la cuenta","Mobiliario y accesorios para el hogar","Cómo ver el historial de órdenes","Zapatos","Consulta del historial de órdenes","<p>Solo podrá consultar el historial de la cuenta si se ha registrado en nuestro sitio. Los usuarios registrados pueden ver y gestionar la información de la cuenta y de las órdenes. Conéctese a ""Cuenta"" (en la esquina superior derecha de la página inicial). Desde la página de gestión de la cuenta, puede gestionar su perfil, la información de pago, la libreta de direcciones, las órdenes, la lista de deseos y la lista de regalos.</p>
<p><span style=""FONT-WEIGHT: bold"">Nota:</span> las órdenes internacionales pueden tardar en aparecer en el historial de órdenes hasta cinco días. La información de seguimiento de los artículos de órdenes de envíos internacionales no se muestra hasta que los artículos abandonan el centro de distribución de Estados Unidos. Los artículos pueden tardar hasta 10 días laborables en llegar a dicho centro de distribución.</p>

"
"119","03/28/2012 09:51 AM","Órdenes","Ropa","Cómo ver el historial de órdenes","Zapatos","Consulta del historial de órdenes","<p>Solo podrá consultar el historial de la cuenta si se ha registrado en nuestro sitio. Los usuarios registrados pueden ver y gestionar la información de la cuenta y de las órdenes. Conéctese a ""Cuenta"" (en la esquina superior derecha de la página inicial). Desde la página de gestión de la cuenta, puede gestionar su perfil, la información de pago, la libreta de direcciones, las órdenes, la lista de deseos y la lista de regalos.</p>
<p><span style=""FONT-WEIGHT: bold"">Nota:</span> las órdenes internacionales pueden tardar en aparecer en el historial de órdenes hasta cinco días. La información de seguimiento de los artículos de órdenes de envíos internacionales no se muestra hasta que los artículos abandonan el centro de distribución de Estados Unidos. Los artículos pueden tardar hasta 10 días laborables en llegar a dicho centro de distribución.</p>

"
"119","03/28/2012 09:51 AM","Órdenes","Mobiliario y accesorios para el hogar","Cómo ver el historial de órdenes","Zapatos","Consulta del historial de órdenes","<p>Solo podrá consultar el historial de la cuenta si se ha registrado en nuestro sitio. Los usuarios registrados pueden ver y gestionar la información de la cuenta y de las órdenes. Conéctese a ""Cuenta"" (en la esquina superior derecha de la página inicial). Desde la página de gestión de la cuenta, puede gestionar su perfil, la información de pago, la libreta de direcciones, las órdenes, la lista de deseos y la lista de regalos.</p>
<p><span style=""FONT-WEIGHT: bold"">Nota:</span> las órdenes internacionales pueden tardar en aparecer en el historial de órdenes hasta cinco días. La información de seguimiento de los artículos de órdenes de envíos internacionales no se muestra hasta que los artículos abandonan el centro de distribución de Estados Unidos. Los artículos pueden tardar hasta 10 días laborables en llegar a dicho centro de distribución.</p>

"
"119","03/28/2012 09:51 AM","Uso de la cuenta","Mobiliario","Cómo ver el historial de órdenes","Zapatos","Consulta del historial de órdenes","<p>Solo podrá consultar el historial de la cuenta si se ha registrado en nuestro sitio. Los usuarios registrados pueden ver y gestionar la información de la cuenta y de las órdenes. Conéctese a ""Cuenta"" (en la esquina superior derecha de la página inicial). Desde la página de gestión de la cuenta, puede gestionar su perfil, la información de pago, la libreta de direcciones, las órdenes, la lista de deseos y la lista de regalos.</p>
<p><span style=""FONT-WEIGHT: bold"">Nota:</span> las órdenes internacionales pueden tardar en aparecer en el historial de órdenes hasta cinco días. La información de seguimiento de los artículos de órdenes de envíos internacionales no se muestra hasta que los artículos abandonan el centro de distribución de Estados Unidos. Los artículos pueden tardar hasta 10 días laborables en llegar a dicho centro de distribución.</p>

"
